Label,Feature0,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,Feature42,Feature43,Feature44,Feature45,Feature46,Feature47,Feature48,Feature49,Feature50,Feature51,Feature52,Feature53,Feature54,Feature55,Feature56,Feature57,Feature58,Feature59,Feature60,Feature61,Feature62,Feature63,Feature64,Feature65,Feature66,Feature67,Feature68,Feature69,Feature70,Feature71,Feature72,Feature73,Feature74,Feature75,Feature76,Feature77,Feature78,Feature79,Feature80,Feature81,Feature82,Feature83,Feature84,Feature85,Feature86,Feature87,Feature88,Feature89,Feature90,Feature91,Feature92,Feature93,Feature94,Feature95,Feature96,Feature97,Feature98,Feature99,Feature100,Feature101
NAME,0.004611355917794364,0.7840951197856182,0.09693826947893415,0.4966651555654165,0.22139889853341238,0.2615926845653637,0.32830630029950825,0.11244214547647012,0.39702347346714567,0.009233062331740921,0.38311788014003206,0.38207693357725403,0.6628845419202533,0.34918522190403295,0.815936837877546,0.3531655234259528,0.9293188367571149,0.3618842975513355,0.39271763392857145,0.5921993513365049,0.690669332231794,0.5565046104224952,0.8693456649780273,0.5506557516149573,1.0033879961286272,0.5463653770652978,0.37810427801949636,0.8039165960775839,0.6489731584276471,0.7772089468466269,0.8063105174473354,0.7579967911179001,0.9181114605494908,0.7301516919522673,0.3451892307826451,1.0067217543318465,0.5395100797925677,1.0011296143402924,0.655818155833653,0.9721277340038402,0.748265130179269,0.931268073417045,-0.019705116748809814,0.00587618350982666,-0.02625209093093872,0.0017669200897216797,1.0,-0.932638943195343,4.146952033042908,-0.8318242430686951,2.3099640011787415,1.0089862611558702,0.9942544211804027,0.9546432495117188,0.7484389560323366,0.8352977964613173,0.45789603112449107,0.7702092594570584,0.21329307556152344,0.8052967919243706,0.00951570860097106,0.7862900627983941,0.5280366279709507,0.48050816853841144,0.3871864533760178,0.29067346784803605,0.31252544026979256,0.13422028223673502,0.25303913170183207,0.7647759649488661,0.6786066243346308,0.42074139912923175,0.5456718122455436,0.19335709677802193,0.4680764372919647,0.0053145090738932295,0.4014133936922315,0.7357243961758084,0.8458559815312775,0.4237518310546875,0.7274511364144338,0.2161377271016439,0.6498178831288512,0.03790977266099718,0.5741688097026986,0.6976878907945421,1.0094246931479012,0.4581045044793023,0.9410071574466329,0.30661095513237846,0.8860932471046985,0.16250811682807076,0.8321448312678807,-0.018969357013702393,0.004485964775085449,-0.02345174551010132,0.007122397422790527,-1.0,0.47565072774887085,3.304640054702759,0.5764654278755188,1.4676520228385925
NAME,0.00285022663620283,0.7492167949676514,0.10357029033157061,0.4492380917072296,0.23662009329166053,0.200567364692688,0.3539058397401054,0.06913420557975769,0.432469349987102,0.014497160911560059,0.37108763208929096,0.3141691982746124,0.6386792884682709,0.32228243350982666,0.7986342232182341,0.337954580783844,0.9158641887160966,0.34957659244537354,0.384979248046875,0.5389284789562225,0.6751092874778891,0.5459531843662262,0.8646234476341391,0.5519063472747803,1.003346713084095,0.554176390171051,0.37074250994988206,0.7692327797412872,0.6371811200987618,0.7791082262992859,0.8120256100060805,0.7750415503978729,0.9358503233711675,0.753713071346283,0.3362200395116266,0.9918874204158783,0.5327850917600235,1.0121608972549438,0.6604277412846403,0.9908833801746368,0.7589527346053213,0.9538416266441345,-0.03541731834411621,0.006370484828948975,-0.03634512424468994,0.02055215835571289,1.0,-0.8715778589248657,4.414474368095398,-0.7973280549049377,2.4119368195533752,1.004466479337668,0.9561265505277193,0.9150461124468453,0.6853606590857872,0.7651724513572983,0.41812042823204626,0.6442257844949071,0.2095522953913762,0.6136995146546183,0.005887515728290264,0.7131742646422567,0.5105213458721455,0.43197216565095925,0.40969449556790866,0.25935614863528483,0.363852544931265,0.10858506794217267,0.33041378901554985,0.7042536675175534,0.669332768366887,0.3967538181739517,0.5818629338191106,0.18442656118658524,0.532914792574369,0.00901784776132318,0.4968042813814603,0.6979869407943532,0.8421156663161058,0.41763035255142406,0.7810099381666917,0.22093562838397449,0.7296840667724609,0.057687590393839,0.6743963388296274,0.6863410080535502,1.0098970559927134,0.46546907062771953,0.9823955829326924,0.3161724428587322,0.9426498119647686,0.18282318115234375,0.9046281374417818,-0.03350561857223511,0.013234496116638184,-0.037673741579055786,0.023126184940338135,-1.0,0.6604647636413574,3.5644400119781494,0.7347145676612854,1.5619024634361267
HELLO,0.7219429016113281,1.0047403034410978,0.452262282371521,0.853494583932977,0.2399606704711914,0.6665050506591796,0.1629502773284912,0.5054186168469881,0.22191953659057617,0.4028032102082905,0.4476768970489502,0.39182124890779196,0.31229448318481445,0.2038326163040964,0.1486964225769043,0.12909095161839534,0.013979196548461914,0.07796371861508018,0.6376941204071045,0.3837731913516396,0.4742605686187744,0.1736521369532535,0.3222389221191406,0.07859404714483964,0.18924903869628906,0.009881160133763363,0.8259029388427734,0.42113468772486634,0.6691737174987793,0.24183106673391241,0.5435187816619873,0.19975099061664783,0.4393554925918579,0.16560859680175782,1.000319242477417,0.49623925058465257,0.9313441514968872,0.3379382484837582,0.8837021589279175,0.23148500542891653,0.8376319408416748,0.13109427000346938,5.9723854064941406e-05,0.02782607078552246,-0.014611423015594482,0.0038572847843170166,-1.0,2.44489848613739,3.0302637815475464,2.462526261806488,0.8444443345069885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,1.001572397020128,1.0024410289722485,0.7579594718085395,0.9732076623937586,0.4925836986965603,0.8871194818517664,0.29590267605251735,0.785896489908407,0.17846298217773438,0.6878746996869097,0.46453189849853516,0.5715354458316342,0.24617173936631945,0.43585410484900844,0.11300489637586805,0.35163187718653416,0.000675307379828559,0.2769011717576247,0.6001306109958224,0.4676850287468879,0.3904865052964952,0.2653357222840026,0.2621373070610894,0.14962117750566084,0.14027203453911674,0.06185143858521849,0.7625408172607422,0.4251532502226777,0.6055707931518555,0.22426353706108346,0.502910402086046,0.1042458251282409,0.39914480845133465,0.008518984029581258,0.9480325910780165,0.4342478448218042,0.8594208823310004,0.26626649793687757,0.7910636266072592,0.16401322333367316,0.709559440612793,0.0734109144944411,-0.01465517282485962,-0.008341789245605469,-0.05585843324661255,0.05164295434951782,-1.0,2.559802830219269,3.0294090509414673,2.5811144709587097,0.8361026644706726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.7602925793877964,1.0054818097282858,0.42952083719187767,0.8569129270665786,0.13383049800478178,0.6581495846019072,0.024640050427667027,0.48456728318158315,0.12193390418743265,0.3373545253978056,0.3537984387627963,0.25567888372084674,0.2402533169450431,0.015472782359403723,0.08605996493635507,0.03656458013197955,0.00839404402108028,0.10950669681324679,0.592675439242659,0.25809678470387176,0.4624219434014682,0.010175345925723805,0.2771381509715113,0.061301657732795264,0.17276737607758622,0.1534090939690085,0.8111299975165005,0.3234375,0.6461436830717942,0.12513006995705997,0.44757948250606144,0.18766227048986098,0.31726350455448543,0.2776801502003389,1.010395313131398,0.4424743988934685,0.7953312314789871,0.29929164437686695,0.6317241274077317,0.31294511907240924,0.5281301038018589,0.35731891183292164,-0.0917205810546875,-0.009351968765258789,-0.14992499351501465,0.03630557656288147,-1.0,2.632327675819397,2.836672067642212,2.604057192802429,0.5692502856254578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MY,0.9489349716011135,1.0027689004873301,1.0055485867905891,0.6982208103328557,0.9716438205762842,0.44317547686688313,0.9118381368702856,0.2413269637467025,0.865710554451778,0.08088005363167107,0.6283348785049614,0.4210162967830509,0.47978727844939834,0.21806721873097606,0.3961395175977685,0.10317002333603896,0.3241601264339754,0.012725656682794744,0.5046288501257183,0.5431544811694653,0.32064797412389995,0.32824261157543627,0.2090196280643858,0.19069020159832842,0.11839732904543822,0.08534176318676441,0.4226282053980334,0.6997880564107524,0.2094659914915589,0.5234137943812779,0.0902514402893768,0.4027351032603871,0.002701068746632543,0.3070071331866376,0.3857409597813398,0.8733098414037135,0.20954184696592135,0.7587563403241047,0.10592502287064476,0.6835426479190975,0.021568692963698816,0.6142007406655844,-0.0013250112533569336,-0.00042808055877685547,0.0012059509754180908,-0.0033423304557800293,-1.0,0.31606346368789673,4.242486953735352,0.3601914644241333,1.9137594103813171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MY,0.9155560661764706,1.0005321037478563,1.003535551183364,0.7071380382630883,0.9619908052332261,0.45889335725365615,0.8744181464700138,0.26918695031142814,0.8087115568273208,0.130274516780202,0.6159569235409007,0.39552065221274774,0.5594024658203125,0.17876432000136958,0.5349682078642004,0.07556408207590987,0.5078665789435891,0.00023230110726705412,0.47039121740004597,0.5004427374863043,0.3558991376091452,0.25888587207328984,0.29176869111902576,0.13080275931009433,0.23442144954905791,0.04026045450350133,0.37090234195484834,0.6342492917688881,0.18931130801930146,0.44100777695818644,0.10198391185087316,0.322004225195908,0.036725885727826285,0.23276891940977515,0.318541358498966,0.7877948109696551,0.15426164514878216,0.6671084892459032,0.06946900311638327,0.5822187981954435,0.011269513298483455,0.5091032632967321,-0.03918004035949707,-0.01261979341506958,-0.02844277024269104,-0.006416261196136475,-1.0,0.3289714455604553,4.2004477977752686,0.32748639583587646,1.9560128450393677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOW,0.007461929321289062,0.9601024945576986,0.19841041564941406,0.6379007657368978,0.46207561492919924,0.31201117833455405,0.733620548248291,0.09725659688313802,0.9848770141601563,0.0066789944966634115,0.0865096092224121,0.2585977872212728,0.8169459342956543,0.14250653584798176,1.0008329391479491,0.2809781392415365,0.8980840682983399,0.3821315129597982,0.06145563125610352,0.4885029157002767,0.9340766906738281,0.39813083012898765,1.0166772842407226,0.5357617696126302,0.83017578125,0.601852830251058,0.12099828720092773,0.755328114827474,0.9445346832275391,0.6733331044514974,0.920986557006836,0.7904700597127279,0.689947509765625,0.8350934346516927,0.2230886459350586,1.0127782185872396,0.8614324569702149,0.9680442174275716,0.7994913101196289,1.0027822812398275,0.5790523529052735,1.0089282353719076,0.01561194658279419,-0.0083809494972229,0.020724862813949585,-0.004627346992492676,1.0,-0.9891104698181152,4.2892986536026,-0.9529837965965271,2.1849453449249268,0.5209801083519345,0.917681850086559,0.4349305289132254,0.5699203491210938,0.3265218280610584,0.27093616832386364,0.18622952415829613,0.06267554543235085,0.14549718584333146,0.015672059492631393,0.9826692853655133,0.21388164867054332,0.3559590294247582,0.10504365400834517,0.08896064758300781,0.2241735284978693,0.07836714245024182,0.32573152021928264,1.021759033203125,0.48842437050559306,0.18271137419201078,0.3886573791503906,0.012345177786690848,0.5136648351495916,0.08614231291271392,0.5810616926713423,0.9429074242001488,0.7666109952059659,0.12300046284993489,0.6731564608487216,0.059590657552083336,0.7451751708984375,0.1744511922200521,0.7745219837535512,0.7928735642206102,1.0104523398659446,0.17491622198195683,0.8984895879572088,0.14010892595563615,0.9293033253062856,0.2652200971330915,0.9539382934570313,0.016690164804458618,-0.0019641518592834473,0.012749016284942627,0.002097487449645996,-1.0,0.6293690204620361,4.182347655296326,0.6654956936836243,2.0779943466186523
HOW,0.006904093424479166,0.9849459235347918,0.19952426486545138,0.6608142283425402,0.41896896362304686,0.35192452615766384,0.6302057054307726,0.15140695714238864,0.8472937689887152,0.010917492766878497,0.0897690667046441,0.3053889203427443,0.7706107245551215,0.19918774846774429,0.983412339952257,0.3106220302297108,0.9318266126844618,0.4125231273138701,0.04732716878255208,0.5216412615420213,0.8730438232421875,0.43863658050992593,1.0103271484375,0.5441387233449452,0.8899925231933594,0.605470087990832,0.09726197984483508,0.7683190872420126,0.8832307603624132,0.6805411950865788,0.9127921210394965,0.7674586452654938,0.7236636691623264,0.803061300249242,0.20454694959852432,1.0009317825089639,0.8220468309190538,0.9369447907405113,0.7999953375922308,0.9599508313990351,0.6115234375,0.9632209379281571,-0.03521648049354553,-0.0021886229515075684,-0.025739818811416626,-0.007010459899902344,1.0,-1.1116737127304077,4.476829171180725,-1.053248941898346,2.422838807106018,0.46747642339662066,0.8944712706974575,0.32340284835460575,0.5975144590650286,0.231302305709484,0.31947616168430876,0.14077599104060684,0.11743787356785365,0.10143670370412428,0.004838739122663226,0.9198977448219476,0.220196110861642,0.3539173214934593,0.13941717147827148,0.0720262749250545,0.28673226492745535,0.058528456577034885,0.3920705318450928,1.010776253633721,0.49105886050633024,0.2241825724756995,0.4137366499219622,0.006763458251953125,0.5614303180149623,0.10191087944563045,0.6369679655347552,0.9750768971997638,0.772282600402832,0.18385102028070494,0.7076030458722796,0.04497874060342478,0.7963647501809257,0.1534221560456032,0.8320718492780413,0.8682334367619005,1.0174967902047294,0.2483730759731559,0.9380553790501186,0.1583759396575218,0.9751980985913958,0.27482755794081576,0.9978420734405518,-0.03734868764877319,-0.011615574359893799,-0.03465116024017334,0.0014497041702270508,-1.0,0.5256825685501099,4.291391968727112,0.5841073393821716,2.237401604652405
YOU,1.0131513155423677,0.7583652178446452,0.7272749680739182,0.4115873018900553,0.41535010704627406,0.17692000071207684,0.1812286376953125,0.06933790842692057,0.004940913273737981,0.0015316645304361979,0.7121488131009616,0.22269875208536785,0.6033078707181491,0.19529062906901043,0.45997913067157453,0.12659842173258465,0.33435762845552885,0.07928520838419596,0.7767903254582331,0.48042494455973306,0.2556463388296274,0.5313549677530924,0.14862060546875,0.5599342028299967,0.1729425283578726,0.5634980837504069,0.779330326960637,0.749737803141276,0.21509669377253607,0.7900543848673502,0.17016132061298078,0.7528277079264323,0.27126312255859375,0.6961122194925944,0.7428759061373197,1.006001059214274,0.3029779287484976,0.9953265825907389,0.25969696044921875,0.9153671900431315,0.3522045428936298,0.8310590426127116,-0.008900880813598633,-0.006077110767364502,-0.00037163496017456055,-0.0067223310470581055,-1.0,0.9389007091522217,3.939836025238037,1.0183396935462952,1.9151687622070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
